OID,STATEFP10,COUNTYFP10,MPOCE10,TADCE10,TAZCE10,GEOID10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,Shape__Are,Shape__Len,ID,sourceCoun,ENRICH_FID,aggregatio,population,apportionm,HasData,TOTPOP_CY
-1,36,061,36198201,00001013,00015702,3606100015702,G6320,S,91141.000000000000000,0.000000000000000,+40.7768196,-073.9773710,0.000009720000000,0.012649960000000,31,US,32,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,5557.000000000000000
-1,36,061,36198201,00001013,00015701,3606100015701,G6320,S,91255.000000000000000,0.000000000000000,+40.7780145,-073.9802064,0.000009730000000,0.012655380000000,32,US,33,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,5470.000000000000000
-1,36,061,36198201,00001014,00016501,3606100016501,G6320,S,91777.000000000000000,0.000000000000000,+40.7831827,-073.9764409,0.000009790000000,0.012690370000000,33,US,34,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,5053.000000000000000
-1,36,047,36198201,00002004,00048900,3604700048900,G6320,S,91612.000000000000000,0.000000000000000,+40.7029213,-073.9392589,0.000009760000000,0.012709810000000,34,US,35,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,4263.000000000000000
-1,36,047,36198201,00002023,00076600,3604700076600,G6320,S,82578.000000000000000,0.000000000000000,+40.6331871,-073.9568420,0.000008790000000,0.013278670000000,35,US,36,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,2124.000000000000000
-1,36,061,36198201,00001005,00003002,3606100003002,G6320,S,78525.000000000000000,0.000000000000000,+40.7229641,-073.9858662,0.000008370000000,0.013444900000000,36,US,37,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,3069.000000000000000
-1,36,061,36198201,00001027,00030700,3606100030700,G6320,S,84372.000000000000000,0.000000000000000,+40.8712704,-073.9166750,0.000009010000000,0.013463560000000,37,US,38,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,3445.000000000000000
-1,36,047,36198201,00002043,00094402,3604700094402,G6320,S,106850.000000000000000,0.000000000000000,+40.6350817,-073.9207804,0.000011370000000,0.013560880000000,38,US,39,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,3093.000000000000000
-1,36,047,36198201,00002008,00053900,3604700053900,G6320,S,101379.000000000000000,0.000000000000000,+40.7026477,-073.9625587,0.000010800000000,0.013589450000000,39,US,40,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,2831.000000000000000
-1,36,047,36198201,00002023,00050804,3604700050804,G6320,S,103103.000000000000000,0.000000000000000,+40.6528350,-073.9635730,0.000010980000000,0.013646600000000,40,US,41,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,6849.000000000000000
