OID,License_Se,License_Ty,License_Cl,License__1,Agency_Zon,Agency_Z_1,County_Nam,Premises_N,Doing_Busi,Actual_Add,Additional,City,State,Zip,License_Ce,License_Or,License_Ef,License_Ex,Latitude,Longitude,Location,serial_a2b
-1,1296189,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,CHEESEBOAT LLC,,80 BERRY ST,,BROOKLYN,NY,11211,894781,,10/1/2018 0:00:00,9/30/2020 0:00:00,40.719880000000003,-73.957830000000001,"(40.71988, -73.95783)",24759
-1,1296196,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,BLF BIG APPLE LLC,GREENWICH GRILLE,33 GREENWICH AVE,,NEW YORK,NY,10014,862641,,11/14/2017 0:00:00,1/31/2019 0:00:00,40.734909999999999,-74.000320000000002,"(40.73491, -74.00032)",24762
-1,1296212,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,ANTHONY PETILLO,BROOKLYN SAFEHOUSE,120 FRANKLIN ST,,BROOKLYN,NY,11222,894264,,9/1/2018 0:00:00,8/31/2020 0:00:00,40.728859999999997,-73.957269999999994,"(40.72886, -73.95727)",24766
-1,1296235,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,2 KNICK LLC,CAPE HOUSE,2 KNICKERBOCKER AVE,,BROOKLYN,NY,11237,897800,,10/2/2018 0:00:00,9/30/2020 0:00:00,40.707430000000002,-73.931910000000002,"(40.70743, -73.93191)",24773
-1,1296239,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,AMICI DEL CAFFE INC,U CAFE,706 AVENUE U,,BROOKLYN,NY,11223,862250,,8/22/2017 0:00:00,7/31/2019 0:00:00,40.597890000000000,-73.963830000000002,"(40.59789, -73.96383)",24776
-1,1296260,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,1412 BROADWAY ROOFTOP LLC,,1412 BROADWAY,,NEW YORK,NY,10018,887507,,6/8/2018 0:00:00,5/31/2020 0:00:00,40.753720000000001,-73.986850000000004,"(40.75372, -73.98685)",24784
-1,1296265,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,OSTERIA POSITANO LLC,POSITANO,10018 4TH AVE,,BROOKLYN,NY,11209,893990,,10/1/2018 0:00:00,9/30/2020 0:00:00,40.612749999999998,-74.033799999999999,"(40.61275, -74.0338)",24786
-1,1296274,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,SERAFINA LUDLOW CORP,,98 RIVINGTON ST,,NEW YORK,NY,10002,841139,,11/22/2016 0:00:00,10/31/2018 0:00:00,40.720190000000002,-73.988450000000000,"(40.72019, -73.98845)",24790
-1,1296281,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,VINYL ENTERTAINMENT INC,THE VNYL,100 3RD AVE,,NEW YORK,NY,10003,893736,,8/1/2018 0:00:00,7/31/2020 0:00:00,40.732450000000000,-73.988020000000006,"(40.73245, -73.98802)",24794
-1,1296286,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,FACILITY CONCESSION SERVICES INC,SPECTRUM CATERING AND CONCESSIONS,610 W 56TH ST,,NEW YORK,NY,10019,898714,,12/1/2018 0:00:00,11/30/2020 0:00:00,40.769849999999998,-73.992670000000004,"(40.76985, -73.99267)",24797
-1,1296299,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,FACILITY CONCESSION SERVICES INC,SPECTRUM CATERING AND CONCESSIONS,66 N 6TH ST,,BROOKLYN,NY,11211,898783,,12/1/2018 0:00:00,11/30/2020 0:00:00,40.719250000000002,-73.961680000000001,"(40.71925, -73.96168)",24798
